Flight_Number,Flight_Date,Origin,Destination,Route,Aircraft_Type,Aircraft_Capacity,Passengers,Load_Factor,Flight_Hours,Season,Route_Category,Demand_Level,Ticket_Revenue,Ancillary_Revenue,Total_Revenue,Fuel_Cost,Maintenance_Cost,Crew_Cost,Depreciation_Cost,Insurance_Cost,Airport_Fees,Catering_Cost,Handling_Cost,Navigation_Fees,Sales_Distribution_Cost,Passenger_Service_Cost,Overhead_Cost,Marketing_Cost,IT_Systems_Cost,Total_Cost,Profit,Profit_Margin,Month,MonthName,Quarter,Weekday,YearMonth,Week,Direct_Op_Cost,Service_Cost,Indirect_Cost,Revenue_per_Pax,Cost_per_Pax,Profit_per_Pax,ASK,RASK,CASK,Is_Profitable
EK7147,2024-10-12,DXB,AMM,DXB-AMM,Boeing 787-9,296,211,0.7129,3.2,Shoulder,Short Haul,Medium,50070.68,5043.39,55114.07,18816.26,7040.0,3840.0,10240.0,1920.0,3588.39,3212.34,2204.3,1526.94,6931.49,5441.14,14555.02,2826.86,2194.89,84337.65,-29223.58,-53.02,10,Oct,4,Saturday,2024-10,41,41856.259999999995,10531.97,31949.4,261.2041232227488,399.7045023696682,-138.50037914691944,947.2,58.18630701013513,89.0389041385135,False
EK8248,2024-11-01,DXB,FRA,DXB-FRA,Airbus A380,517,454,0.8786,6.5,Shoulder,Long Haul,High,498003.09,61538.9,559541.99,81532.13,32500.0,13000.0,39000.0,6500.0,10315.83,11814.83,2248.57,3563.16,85704.95,9870.02,59710.66,29906.65,4228.77,389895.57,169646.42,30.32,11,Nov,4,Friday,2024-11,44,172532.13,27942.39,189421.05,1232.4713436123347,858.8008149779736,373.6705286343613,3360.5,166.50557655110848,116.02308287457224,True
EK7884,2024-11-14,DXB,IST,DXB-IST,Boeing 777-300ER,396,351,0.8866,5.0,Shoulder,Medium Haul,High,225440.55,32925.09,258365.64,42592.65,17500.0,7500.0,22500.0,4000.0,4550.13,11579.64,3488.59,3206.78,37571.5,6360.03,33982.84,8406.3,3814.48,207052.95,51312.69,19.86,11,Nov,4,Thursday,2024-11,46,94092.65,22825.14,90135.15,736.0844444444444,589.8944444444445,146.19,1980.0,130.48769696969697,104.57219696969698,True
EK1773,2024-02-02,DXB,BAH,DXB-BAH,Airbus A320,180,161,0.8982,1.3,Peak,Short Haul,High,49330.37,5927.58,55257.95,3346.52,1495.0,1014.0,2210.0,364.0,4014.18,4140.14,3378.2,896.99,8472.58,2637.35,6732.1,3027.04,2328.03,44056.14,11201.81,20.27,2,Feb,1,Friday,2024-02,5,8429.52,12429.51,23197.1,343.2170807453416,273.6406211180124,69.57645962732919,234.0,236.14508547008546,188.27410256410255,True
EK2502,2024-03-25,DXB,AMM,DXB-AMM,Boeing 787-9,296,245,0.8301,3.2,Shoulder,Short Haul,Medium,78107.74,11086.54,89194.29,18402.59,7040.0,3840.0,10240.0,1920.0,3375.47,3258.41,4241.27,1500.9,15452.14,5999.52,14861.57,5168.15,2228.95,97528.99,-8334.7,-9.34,3,Mar,1,Monday,2024-03,13,41442.59,12376.05,43710.329999999994,364.0583265306122,398.07751020408165,-34.01918367346939,947.2,94.16626900337836,102.96557221283784,False
EK4833,2024-06-05,DXB,HKG,DXB-HKG,Boeing 777-300ER,396,313,0.7918,8.5,Low,Long Haul,High,462131.66,66986.51,529118.17,65754.07,29750.0,12750.0,38250.0,6800.0,5541.66,7677.64,4713.39,4754.7,63540.96,6189.14,57575.08,18118.1,3114.19,324528.91,204589.26,38.67,6,Jun,2,Wednesday,2024-06,23,153304.07,22687.39,148537.47,1690.4733865814699,1036.8335782747604,653.6398083067093,3366.0,157.19494058229353,96.4138175876411,True
EK7169,2024-10-19,DXB,BOM,DXB-BOM,Airbus A350-900,325,272,0.839,3.2,Shoulder,Medium Haul,High,138593.11,18854.04,157447.15,20523.65,7680.0,4160.0,11200.0,2080.0,5167.87,6492.2,4030.02,1822.81,26439.36,4421.71,20285.9,5420.63,3341.24,123065.41,34381.74,21.84,10,Oct,4,Saturday,2024-10,42,45643.65,17512.9,59908.84,578.8498161764705,452.44636029411765,126.40345588235293,1040.0,151.39149038461537,118.332125,True
EK1856,2024-02-15,DXB,BOM,DXB-BOM,Boeing 777-300ER,396,369,0.9324,3.2,Peak,Medium Haul,High,262010.39,31012.65,293023.05,27535.64,11200.0,4800.0,14400.0,2560.0,4778.59,7989.91,2809.21,2002.69,44902.17,7626.79,24538.34,12353.18,3955.27,171451.78,121571.27,41.49,2,Feb,1,Thursday,2024-02,7,60495.64,17580.399999999998,93375.75000000001,794.1004065040651,464.6389701897019,329.46143631436314,1267.2,231.23662405303028,135.29970012626262,True
EK8764,2024-12-01,DXB,MEL,DXB-MEL,Boeing 777-300ER,396,305,0.7723,13.5,Peak,Long Haul,Medium,433897.62,43426.29,477323.91,117196.64,47250.0,20250.0,60750.0,10800.0,3017.75,6660.43,4733.51,8767.39,76027.47,8987.78,70893.02,18548.87,3905.94,457788.79,19535.13,4.09,12,Dec,4,Sunday,2024-12,48,256246.64,23179.08,178363.08000000002,1564.9964262295082,1500.9468524590163,64.04960655737705,5346.0,89.28617845117844,85.63202207257763,True
EK4199,2024-05-16,DXB,KUL,DXB-KUL,Airbus A350-900,325,207,0.6396,7.5,Normal,Long Haul,Medium,256777.63,25746.86,282524.49,43929.28,18000.0,9750.0,26250.0,4875.0,3171.45,4090.7,3751.81,4896.86,41042.63,5365.42,33050.96,9758.19,3081.1,211013.4,71511.09,25.31,5,May,2,Thursday,2024-05,20,102804.28,15910.82,92298.3,1364.8526086956522,1019.3884057971014,345.4642028985507,2437.5,115.90748307692307,86.5696,True
EK1019,2024-01-20,DXB,DOH,DXB-DOH,Boeing 737-800,189,175,0.9264,1.5,Peak,Short Haul,High,41927.97,5701.69,47629.65,3600.24,1800.0,1200.0,2700.0,450.0,2927.85,3743.78,3609.6,1164.22,6560.48,2959.13,5850.09,2396.7,2505.94,41468.03,6161.63,12.94,1,Jan,1,Saturday,2024-01,3,9750.24,11445.449999999999,20272.34,272.16942857142857,236.9601714285714,35.209314285714285,283.5,168.0058201058201,146.27171075837742,True
EK8959,2024-12-13,DXB,ORD,DXB-ORD,Boeing 777-300ER,396,320,0.8089,14.5,Peak,Long Haul,Medium,581050.85,84794.44,665845.29,132739.0,50750.0,21750.0,65250.0,11600.0,2415.67,10909.72,3701.51,6609.53,84384.05,7219.43,93683.56,28921.83,3776.65,523710.94,142134.35,21.35,12,Dec,4,Friday,2024-12,50,282089.0,23636.43,217985.52,2080.7665312500003,1636.5966875,444.16984375000004,5742.0,115.96051724137932,91.20706025774992,True
EK3280,2024-04-03,DXB,LHR,DXB-LHR,Boeing 777-300ER,396,340,0.8591,7.0,Shoulder,Medium Haul,High,292169.4,40798.98,332968.38,64895.58,24500.0,10500.0,31500.0,5600.0,7735.24,4709.92,4560.78,2804.12,44048.75,6115.03,40011.82,15114.36,4567.13,266662.73,66305.64,19.91,4,Apr,2,Wednesday,2024-04,14,136995.58000000002,19810.059999999998,109857.09000000001,979.3187647058824,784.3021470588235,195.0165882352941,2772.0,120.11846320346321,96.19867604617603,True
EK2385,2024-03-03,DXB,MCT,DXB-MCT,Airbus A320,180,158,0.8811,1.2,Shoulder,Short Haul,High,33230.72,3453.49,36684.21,2645.7,1380.0,936.0,2040.0,336.0,4266.86,3769.94,2443.46,629.78,6290.31,4396.1,5583.24,2144.68,1642.04,38504.11,-1819.9,-4.96,3,Mar,1,Sunday,2024-03,9,7337.7,11110.039999999999,20056.37,232.17854430379745,243.6968987341772,-11.518354430379748,216.0,169.83430555555555,178.2597685185185,False
EK4515,2024-06-26,DXB,BOM,DXB-BOM,Airbus A350-900,325,253,0.7813,3.2,Low,Medium Haul,High,159567.78,16069.5,175637.28,17644.11,7680.0,4160.0,11200.0,2080.0,4723.72,7030.44,3407.05,1522.19,23950.82,4837.39,17073.14,6143.9,2490.85,113943.61,61693.67,35.13,6,Jun,2,Wednesday,2024-06,26,42764.11,16683.399999999998,54496.1,694.2184980237154,450.37,243.84849802371542,1040.0,168.882,109.56116346153846,True
EK8688,2024-12-22,DXB,CMB,DXB-CMB,Boeing 787-9,296,246,0.8339,4.5,Peak,Medium Haul,Medium,206978.67,20806.23,227784.9,26244.43,9900.0,5400.0,14400.0,2700.0,3006.8,3447.33,4416.82,2081.41,32350.82,4739.63,23891.09,8867.99,2743.47,144189.79,83595.11,36.7,12,Dec,4,Sunday,2024-12,51,58644.43,12952.36,72593.0,925.9548780487804,586.1373577235772,339.81752032520325,1332.0,171.0096846846847,108.2505930930931,True
EK2414,2024-03-10,DXB,KWI,DXB-KWI,Airbus A320,180,148,0.8259,2.0,Shoulder,Short Haul,High,43901.51,5117.35,49018.86,4346.37,2300.0,1560.0,3400.0,560.0,2987.59,4008.64,3959.209999999999,1354.64,6762.61,3507.84,6735.09,2228.97,1791.46,45502.42,3516.43,7.17,3,Mar,1,Sunday,2024-03,10,12166.369999999999,12310.079999999998,21025.97,331.20851351351354,307.44878378378377,23.75966216216216,360.0,136.1635,126.39561111111111,True
EK7954,2024-11-13,DXB,HYD,DXB-HYD,Boeing 787-9,296,205,0.6944,4.2,Shoulder,Medium Haul,Medium,147880.2,14979.419999999984,162859.62,23781.55,9240.0,5040.0,13440.0,2520.0,3121.68,6257.11,4070.37,1756.17,21106.05,5490.72,22718.67,5164.53,2540.93,126247.78,36611.84,22.48,11,Nov,4,Wednesday,2024-11,46,54021.55,15205.33,57020.9,794.4371707317073,615.8428292682927,178.59434146341462,1243.2,131.00033783783783,101.55065958815959,True
EK2554,2024-03-01,DXB,DEL,DXB-DEL,Boeing 787-9,296,281,0.9499,3.5,Shoulder,Medium Haul,High,242687.47,31010.31,273697.78,18517.17,7700.0,4200.0,11200.0,2100.0,5886.39,8920.5,3023.359999999986,2603.48,40382.07,5147.27,17756.41,16274.19,2942.85,146653.69,127044.09,46.42,3,Mar,1,Friday,2024-03,9,43717.17,20433.729999999985,82502.79000000001,974.0134519572955,521.8992526690391,452.1141992882562,1036.0,264.18704633204635,141.55761583011582,True
EK8575,2024-12-11,DXB,LHR,DXB-LHR,Boeing 787-9,296,281,0.95,7.0,Peak,Medium Haul,High,122641.37,16800.290000000008,139441.66,39420.46,15400.0,8400.0,22400.0,4200.0,9198.12,6502.06,5887.52,5447.03,21279.58,7443.96,36547.35,6987.57,3763.18,192876.82,-53435.16,-38.32,12,Dec,4,Wednesday,2024-12,50,89820.45999999999,27034.73,76021.63999999998,496.2336654804271,686.3943772241993,-190.16071174377225,2072.0,67.29809845559846,93.08726833976834,False
EK1476,2024-01-06,DXB,SIN,DXB-SIN,Boeing 787-9,296,281,0.95,7.5,Peak,Long Haul,High,351732.23,47471.84,399204.07,42478.52,16500.0,9000.0,24000.0,4500.0,5823.99,6024.33,3408.84,3340.14,60897.79,6420.16,36482.61,14081.69,3090.63,236048.71,163155.36,40.87,1,Jan,1,Saturday,2024-01,1,96478.51999999999,18597.3,120972.88,1420.6550533807829,840.0309964412811,580.6240569395018,2220.0,179.82165315315316,106.32824774774774,True
EK2954,2024-03-11,DXB,LAX,DXB-LAX,Boeing 777-300ER,396,330,0.8342,16.0,Shoulder,Long Haul,Medium,472532.41,67431.70000000001,539964.11,147348.37,56000.0,24000.0,72000.0,12800.0,3655.31,4727.48,2497.28,10013.76,81356.63,8255.36,106958.77,28283.83,3835.37,561732.16,-21768.06,-4.03,3,Mar,1,Monday,2024-03,11,312148.37,20893.83,228689.96000000002,1636.2548787878789,1702.2186666666669,-65.96381818181818,6336.0,85.22160827020201,88.65722222222223,False
EK4142,2024-05-12,DXB,SIN,DXB-SIN,Airbus A380,517,450,0.872,7.5,Normal,Long Haul,High,881085.23,92835.58,973920.81,97022.28,37500.0,15000.0,45000.0,7500.0,4679.04,9859.09,4569.38,3523.82,147618.61,11476.05,65048.89,57180.62,5634.83,511612.61,462308.2,47.47,5,May,2,Sunday,2024-05,19,202022.28,22631.33,286959.0,2164.268466666667,1136.9169111111112,1027.3515555555555,3877.5,251.17235589941976,131.94393552546742,True
EK5336,2024-07-07,DXB,KHI,DXB-KHI,Airbus A320,180,115,0.6431,2.5,Low,Medium Haul,Medium,68570.37,9733.6,78303.97,5793.33,2875.0,1950.0,4250.0,700.0,4297.09,3731.49,5937.05,1048.89,13187.51,3200.6,8509.03,2461.14,1246.67,59187.81,19116.15,24.41,7,Jul,3,Sunday,2024-07,27,15568.33,15014.52,28604.949999999997,680.9040869565217,514.6766086956521,166.22739130434783,450.0,174.00882222222222,131.52846666666667,True
EK1468,2024-01-10,DXB,MEL,DXB-MEL,Airbus A350-900,325,238,0.7346,13.5,Peak,Long Haul,Medium,442818.11,60063.02,502881.13,83962.55,32400.0,17550.0,47250.0,8775.0,2717.33,8313.63,4427.51,5925.99,89251.81,5593.84,71773.68,15311.85,3180.68,396433.88,106447.25,21.17,1,Jan,1,Wednesday,2024-01,2,189937.55,21384.46,185111.86,2112.945924369748,1665.6885714285715,447.25735294117646,4387.5,114.61678176638176,90.35530028490028,True
EK3628,2024-04-12,DXB,ORD,DXB-ORD,Airbus A350-900,325,245,0.755,14.5,Shoulder,Long Haul,Medium,390959.71,52713.0,443672.71,86004.39,34800.0,18850.0,50750.0,9425.0,2936.56,4478.86,2311.84,5995.05,62403.04,5829.36,66381.86,22512.82,2273.0,374951.77,68720.94,15.49,4,Apr,2,Friday,2024-04,15,199829.39,15722.310000000001,159400.08000000002,1810.9090204081633,1530.415387755102,280.49363265306124,4712.5,94.14805517241379,79.56536233421751,True
EK1308,2024-01-15,DXB,BLR,DXB-BLR,Airbus A350-900,325,263,0.8095,4.5,Peak,Medium Haul,Medium,168509.53,19405.82,187915.35,29637.27,10800.0,5850.0,15750.0,2925.0,3575.9,5184.94,5732.61,2949.85,29209.7,5427.42,19916.52,7178.34,2425.98,146563.53,41351.82,22.01,1,Jan,1,Monday,2024-01,3,64962.270000000004,17443.3,64157.96,714.5070342205323,557.2757794676806,157.2312547528517,1462.5,128.4891282051282,100.21437948717949,True
EK8403,2024-12-16,DXB,BAH,DXB-BAH,Boeing 737-800,189,174,0.9252,1.3,Peak,Short Haul,High,34807.25,3695.68,38502.93,3134.71,1560.0,1040.0,2340.0,390.0,4082.1,5558.07,3237.03,916.89,5244.0,3287.99,6948.01,1805.13,1501.07,41045.0,-2542.07,-6.6,12,Dec,4,Monday,2024-12,51,8464.71,13794.09,18786.2,221.28120689655174,235.89080459770116,-14.609597701149426,245.70000000000002,156.7070818070818,167.05331705331704,False
EK3899,2024-05-21,DXB,IST,DXB-IST,Airbus A350-900,325,276,0.8499,5.0,Normal,Medium Haul,High,241775.06,28505.02,270280.08,27355.07,12000.0,6500.0,17500.0,3250.0,2669.82,5621.53,5065.73,3455.48,41846.58,5447.95,20196.33,14509.84,3134.35,168552.69,101727.39,37.64,5,May,2,Tuesday,2024-05,21,66605.07,16812.56,85135.05,979.2756521739132,610.6981521739131,368.5775,1625.0,166.3262030769231,103.7247323076923,True
EK5383,2024-07-04,DXB,JFK,DXB-JFK,Boeing 787-9,296,223,0.7566,14.0,Low,Long Haul,High,324630.09,41714.97,366345.06,73612.44,30800.0,16800.0,44800.0,8400.0,7978.54,2757.93,4459.46,8608.63,52089.45,5278.33,54808.12,16746.85,2506.82,329646.59,36698.47,10.02,7,Jul,3,Thursday,2024-07,27,174412.44,23804.559999999998,131429.57,1642.8029596412555,1478.2358295964127,164.56713004484305,4144.0,88.4037306949807,79.5479222972973,True
EK2057,2024-02-17,DXB,CMB,DXB-CMB,Airbus A350-900,325,248,0.7647,4.5,Peak,Medium Haul,Medium,185787.67,23775.36,209563.02,24523.9,10800.0,5850.0,15750.0,2925.0,4064.64,3962.54,4062.87,3562.66,34375.99,4710.34,22681.18,6307.09,2572.34,146148.55,63414.48,30.26,2,Feb,1,Saturday,2024-02,7,59848.9,15652.71,70646.94,845.0121774193548,589.3086693548387,255.7035483870968,1462.5,143.29095384615383,99.93063247863248,True
EK4257,2024-05-24,DXB,FRA,DXB-FRA,Boeing 787-9,296,267,0.9041,6.5,Normal,Long Haul,High,283897.61,38060.25,321957.86,39129.87,14300.0,7800.0,20800.0,3900.0,11453.56,5795.41,5505.830000000016,3196.32,50585.81,5686.86,28632.07,12344.14,3477.06,212606.93,109350.93,33.96,5,May,2,Friday,2024-05,21,85929.87,25951.120000000017,100725.93999999999,1205.83468164794,796.2806367041198,409.5540449438202,1924.0,167.33776507276505,110.50256237006236,True
EK6570,2024-09-10,DXB,IST,DXB-IST,Airbus A350-900,325,260,0.8013,5.0,Normal,Medium Haul,High,159397.39,20890.54,180287.93,31233.53,12000.0,6500.0,17500.0,3250.0,3117.46,7486.03,5708.23,3684.38,31948.73,4135.06,29842.05,8403.27,3121.76,167930.5,12357.43,6.85,9,Sep,3,Tuesday,2024-09,37,70483.53,19996.1,77450.87,693.4151153846153,645.8865384615384,47.528576923076926,1625.0,110.94641846153846,103.34184615384615,True
EK5714,2024-08-24,DXB,KWI,DXB-KWI,Boeing 737-800,189,151,0.802,2.0,Low,Short Haul,High,32214.95,4557.52,36772.47,4759.17,2400.0,1600.0,3600.0,600.0,2166.4,3331.69,3781.75,915.95,5994.67,2395.14,6218.94,1491.76,1372.06,40627.54,-3855.07,-10.48,8,Aug,3,Saturday,2024-08,34,12959.17,10195.79,17472.57,243.5262913907285,269.05655629139073,-25.530264900662253,378.0,97.28166666666667,107.48026455026455,False
EK8391,2024-12-30,DXB,BAH,DXB-BAH,Boeing 737-800,189,178,0.9446,1.3,Peak,Short Haul,High,63163.01,7314.61,70477.62,3498.74,1560.0,1040.0,2340.0,390.0,4432.82,2509.26,4986.74,713.25,10175.17,2780.21,6712.76,4227.21,2077.34,47443.5,23034.12,32.68,12,Dec,4,Monday,2024-12,1,8828.74,12642.07,25972.69,395.9416853932584,266.5365168539326,129.40516853932584,245.70000000000002,286.8442002442002,193.09523809523807,True
EK6751,2024-09-18,DXB,SYD,DXB-SYD,Boeing 787-9,296,233,0.7889,14.5,Normal,Long Haul,High,300045.25,34147.74,334192.99,82576.76,31900.0,17400.0,46400.0,8700.0,10780.87,6416.08,2254.710000000021,8955.92,45513.34,4446.05,59471.34,12019.66,2412.38,339247.11,-5054.13,-1.51,9,Sep,3,Wednesday,2024-09,38,186976.76,28407.580000000024,123862.77,1434.304678111588,1455.9961802575106,-21.69154506437768,4292.0,77.86416356011183,79.0417311276794,False
EK5004,2024-07-28,DXB,DOH,DXB-DOH,Boeing 737-800,189,141,0.7509,1.5,Low,Short Haul,High,35145.82,4700.57,39846.39,3451.49,1800.0,1200.0,2700.0,450.0,4669.21,3035.38,5818.01,1180.13,5003.79,2273.81,6892.99,1317.8,1797.69,41590.3,-1743.91,-4.38,7,Jul,3,Sunday,2024-07,30,9601.49,14702.73,17286.079999999998,282.59851063829785,294.9666666666667,-12.368156028368794,283.5,140.5516402116402,146.70299823633158,False
EK7636,2024-11-24,DXB,DOH,DXB-DOH,Airbus A320,180,148,0.827,1.5,Shoulder,Short Haul,High,37287.96,5465.03,42752.99,3673.81,1725.0,1170.0,2550.0,420.0,2160.52,1928.69,2872.81,637.15,6081.69,4257.35,4408.46,1988.65,1835.42,35709.57,7043.42,16.47,11,Nov,4,Sunday,2024-11,47,9538.81,7599.17,18571.57,288.87155405405406,241.2808783783784,47.590675675675676,270.0,158.3444074074074,132.25766666666667,True
EK6715,2024-09-02,DXB,JFK,DXB-JFK,Boeing 777-300ER,396,326,0.8243,14.0,Normal,Long Haul,High,654584.14,76108.83,730692.98,124149.88,49000.0,21000.0,63000.0,11200.0,9576.05,6475.24,5327.04,9607.85,90769.82,7651.14,92835.02,42559.18,4340.5,537491.72,193201.26,26.44,9,Sep,3,Monday,2024-09,36,268349.88,30986.18,238155.66,2241.389509202454,1648.747607361963,592.6419018404908,5544.0,131.79887806637805,96.95016594516593,True
EK1080,2024-01-18,DXB,KWI,DXB-KWI,Boeing 737-800,189,168,0.8893,2.0,Peak,Short Haul,High,30386.04,3528.82,33914.86,5209.33,2400.0,1600.0,3600.0,600.0,3038.07,5651.649999999994,5579.7,1240.67,5791.17,3151.53,8677.45,1144.8,1700.12,49384.49,-15469.63,-45.61,1,Jan,1,Thursday,2024-01,3,13409.33,15510.089999999995,20465.07,201.87416666666667,293.9552976190476,-92.08113095238095,378.0,89.72185185185185,130.64679894179895,False
EK5710,2024-08-26,DXB,KWI,DXB-KWI,Boeing 737-800,189,134,0.7133,2.0,Low,Short Haul,High,37976.52,4558.9,42535.41,5418.51,2400.0,1600.0,3600.0,600.0,3313.79,3001.65,4147.69,894.65,5989.31,3215.43,6208.54,2037.89,1852.37,44279.84,-1744.43,-4.1,8,Aug,3,Monday,2024-08,35,13618.51,11357.78,19303.539999999997,317.4284328358209,330.4465671641791,-13.01813432835821,378.0,112.5275396825397,117.14243386243385,False
EK1641,2024-01-11,DXB,SFO,DXB-SFO,Airbus A350-900,325,252,0.7782,16.5,Peak,Long Haul,Medium,272297.11,38825.26,311122.37,108652.29,39600.0,21450.0,57750.0,10725.0,2375.07,6655.19,2832.4,9585.26,44909.75,7120.09,74026.37,18222.82,2833.64,406737.89,-95615.52,-30.73,1,Jan,1,Thursday,2024-01,2,238177.28999999998,21447.92,147112.67,1234.6125793650795,1614.0392460317462,-379.4266666666667,5362.5,58.01815757575758,75.84855757575758,False
EK8673,2024-12-18,DXB,LHE,DXB-LHE,Boeing 787-9,296,256,0.8682,3.5,Peak,Medium Haul,Medium,110790.14,12065.14,122855.28,18020.34,7700.0,4200.0,11200.0,2100.0,2305.33,7447.44,3357.14,1588.4,19858.91,5435.62,15645.12,7244.36,2524.06,108626.72,14228.55,11.58,12,Dec,4,Wednesday,2024-12,51,43220.34,14698.31,50708.07,479.9034375,424.323125,55.5802734375,1036.0,118.5861776061776,104.85204633204633,True
EK7960,2024-11-17,DXB,MAA,DXB-MAA,Boeing 787-9,296,233,0.7896,4.5,Shoulder,Medium Haul,Medium,169751.33,17162.85,186914.18,22589.28,9900.0,5400.0,14400.0,2700.0,2948.81,7927.13,2376.44,2849.75,27111.59,3917.23,22959.88,10739.02,2169.29,137988.42,48925.76,26.18,11,Nov,4,Sunday,2024-11,46,54989.28,16102.130000000001,66897.01,802.2067811158798,592.2249785407726,209.9818025751073,1332.0,140.32596096096097,103.59490990990992,True
EK6768,2024-09-28,DXB,MEL,DXB-MEL,Airbus A350-900,325,251,0.7737,13.5,Normal,Long Haul,Medium,302626.49,39776.59,342403.07,76877.45,32400.0,17550.0,47250.0,8775.0,3831.32,3195.46,5360.6,5968.34,54797.44,7134.41,50445.64,16285.69,2832.02,332703.37,9699.7,2.83,9,Sep,3,Saturday,2024-09,39,182852.45,18355.72,131495.2,1364.155657370518,1325.5114342629481,38.64422310756972,4387.5,78.04058575498576,75.82982792022791,True
EK5552,2024-07-16,DXB,CDG,DXB-CDG,Airbus A380,517,393,0.762,7.5,Low,Long Haul,High,487628.83,65580.5,553209.33,92837.71,37500.0,15000.0,45000.0,7500.0,10770.8,10004.49,3863.17,4160.07,77050.3,7695.55,61665.3,24084.46,5300.39,402432.25,150777.07,27.25,7,Jul,3,Tuesday,2024-07,29,197837.71000000002,28798.53,175796.00000000003,1407.6573282442746,1024.0006361323155,383.6566666666667,3877.5,142.67165183752417,103.78652482269503,True
EK2489,2024-03-01,DXB,CAI,DXB-CAI,Boeing 787-9,296,234,0.7921,3.5,Shoulder,Short Haul,Medium,63952.97,6627.74,70580.71,19400.21,7700.0,4200.0,11200.0,2100.0,2354.79,4459.82,5669.73,2122.96,12110.58,6589.85,14705.71,2469.73,3098.07,98181.45,-27600.74,-39.11,3,Mar,1,Friday,2024-03,9,44600.21,14607.3,38973.94,301.6269658119658,419.57884615384614,-117.95188034188035,1036.0,68.12809845559846,94.76973938223938,False
EK7757,2024-11-15,DXB,RUH,DXB-RUH,Airbus A320,180,140,0.7798,2.2,Shoulder,Short Haul,Medium,21501.65,2724.27,24225.92,5541.97,2530.0,1716.0,3740.0,616.0,4338.81,4694.2,3098.5,977.25,3608.08,4170.74,7286.46,954.46,1669.05,44941.52,-20715.6,-85.51,11,Nov,4,Friday,2024-11,46,14143.970000000001,13108.76,17688.789999999997,173.0422857142857,321.0108571428571,-147.9685714285714,396.00000000000006,61.17656565656564,113.48868686868684,False
EK4000,2024-05-11,DXB,KHI,DXB-KHI,Airbus A320,180,128,0.716,2.5,Normal,Medium Haul,Medium,79138.4,9823.45,88961.85,5439.94,2875.0,1950.0,4250.0,700.0,3094.93,3259.08,4205.45,1842.05,12571.03,3472.87,8797.47,3031.96,1777.99,57267.78,31694.07,35.63,5,May,2,Saturday,2024-05,19,15214.939999999999,12401.509999999998,29651.320000000003,695.014453125,447.40453125,247.609921875,450.0,197.693,127.26173333333332,True
EK6907,2024-09-10,DXB,FRA,DXB-FRA,Boeing 787-9,296,233,0.7885,6.5,Normal,Long Haul,High,271693.83,29164.41,300858.23,32243.25,14300.0,7800.0,20800.0,3900.0,9051.91,2972.5599999999977,4141.9,4647.03,47760.19,6521.97,29173.41,12989.79,1959.96,198261.97,102596.27,34.1,9,Sep,3,Tuesday,2024-09,37,79043.25,20813.399999999998,98405.32000000002,1291.2370386266093,850.9097424892703,440.327339055794,1924.0,156.3712214137214,103.04676195426195,True
EK3885,2024-05-26,DXB,IST,DXB-IST,Boeing 777-300ER,396,317,0.8026,5.0,Normal,Medium Haul,High,283164.11,28949.05,312113.16,42268.17,17500.0,7500.0,22500.0,4000.0,4065.14,7075.8,3688.41,2172.56,39711.94,6516.55,31732.11,12188.54,4119.31,205038.53,107074.63,34.31,5,May,2,Sunday,2024-05,21,93768.17,17001.91,94268.45000000001,984.5841009463721,646.8092429022082,337.77485804416403,1980.0,157.63290909090907,103.55481313131313,True
EK3572,2024-04-15,DXB,FRA,DXB-FRA,Boeing 787-9,296,269,0.9097,6.5,Shoulder,Long Haul,High,553933.54,58385.84,612319.38,36743.86,14300.0,7800.0,20800.0,3900.0,8620.2,5763.79999999993,2212.26,4518.71,102453.69,6028.88,33044.88,28779.12,3308.32,278273.72,334045.66,54.55,4,Apr,2,Monday,2024-04,16,83543.86,21114.96999999993,173614.89,2276.280223048327,1034.4747955390333,1241.8054275092936,1924.0,318.253316008316,144.63291060291058,True
EK6389,2024-09-23,DXB,KWI,DXB-KWI,Boeing 737-800,189,168,0.8934,2.0,Normal,Short Haul,High,44274.26,4518.45,48792.71,4912.26,2400.0,1600.0,3600.0,600.0,2500.62,2317.49,4237.72,852.01,7846.26,2755.55,7239.68,1649.98,1420.41,43931.99,4860.72,9.96,9,Sep,3,Monday,2024-09,39,13112.26,9907.84,20911.88,290.4327976190476,261.4999404761905,28.932857142857145,378.0,129.0812433862434,116.22219576719576,True
EK3087,2024-04-18,DXB,BAH,DXB-BAH,Boeing 737-800,189,169,0.8988,1.3,Shoulder,Short Haul,High,35355.76,4297.99,39653.75,3201.23,1560.0,1040.0,2340.0,390.0,4639.28,5411.22,4232.39,525.28,6563.42,3800.06,7886.42,2246.3,1656.14,45491.76,-5838.01,-14.72,4,Apr,2,Thursday,2024-04,16,8531.23,14808.17,22152.34,234.63757396449705,269.18201183431955,-34.54443786982249,245.70000000000002,161.3909238909239,185.15164835164833,False
EK4685,2024-06-30,DXB,LHE,DXB-LHE,Airbus A350-900,325,210,0.6481,3.5,Low,Medium Haul,Medium,108942.3,14243.839999999997,123186.14,19014.47,8400.0,4550.0,12250.0,2275.0,2898.85,3333.54,4296.13,1684.01,18056.96,5661.27,16853.33,3725.22,1955.82,104954.6,18231.55,14.8,6,Jun,2,Sunday,2024-06,26,46489.47,12212.53,46252.6,586.6006666666667,499.78380952380957,86.81690476190475,1137.5,108.2955076923077,92.26778021978022,True
